"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"138","#MadeinStatenIsland star addressed ~* the haters*~ https://t.co/X6z1mqftrx",FALSE,0,NA,2019-01-16 19:08:10,FALSE,NA,"1085614707099213829",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","vicpriola",0,FALSE,FALSE,NA,NA
"139","#MadeInStatenIsland the trials and tribulations of growing up on the “streets of Staten Island” with granite counte… https://t.co/OTcfEFw2CO",FALSE,3,NA,2019-01-16 19:05:19,TRUE,NA,"1085613987591581696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pac_man48",0,FALSE,FALSE,NA,NA
"140","Just a warning 🤷🏽‍♀️ @statenislandmtv  #MadeInStatenIsland #GODMUTHA https://t.co/zLBX0GbQvL",FALSE,25,NA,2019-01-16 18:56:51,FALSE,NA,"1085611857300373504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dennieaugustine",8,FALSE,FALSE,NA,NA
"141","There’s a detective searching through the garbage in the locker room at the gym that I go to. #madeinstatenisland",FALSE,5,NA,2019-01-16 18:02:41,FALSE,NA,"1085598229427818496",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alex_Friedman31",1,FALSE,FALSE,NA,NA
"142","Be honest. Do you consider Paulie dancing with other girls cheating? 🤔 #MadeInStatenIsland https://t.co/1zVbX8WSJ1",FALSE,55,NA,2019-01-16 18:00:00,FALSE,NA,"1085597553498951680",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","statenislandmtv",10,FALSE,FALSE,NA,NA
"143","These kids aren’t “MADE” at all. 🙄#MadeInStatenIsland",FALSE,0,NA,2019-01-16 17:30:39,FALSE,NA,"1085590166662717442",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_MMLism",0,FALSE,FALSE,NA,NA
"144","Karina &amp; Paulie are Staten’s Sam &amp; Ron. 🤦🏻‍♀️ #MadeInStatenIsland",FALSE,1,NA,2019-01-16 17:29:46,FALSE,NA,"1085589942359740416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_MMLism",0,FALSE,FALSE,NA,NA
"145","Have to say @VH1 I have no interest in #MadeInStatenIsland at all. To me it's just a show about a bunch of wanna be… https://t.co/1tTnq9TN9D",FALSE,0,NA,2019-01-16 17:22:10,TRUE,NA,"1085588030726070272",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JoeDiano247",0,FALSE,FALSE,NA,NA
"146","Loving  #MadeInStatenIsland @KarenGravanoVH1 😀 x",FALSE,0,NA,2019-01-16 16:33:17,FALSE,NA,"1085575730010951680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jayerelovinbrit",0,FALSE,FALSE,NA,NA
"147","Lol ‘Made in Staten Island’ is so stupid. First of all, Karina is from Arizona NOT NYC and secondly why would you b… https://t.co/lVolLi1qUu",FALSE,1,NA,2019-01-16 16:20:49,TRUE,NA,"1085572592747143168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ellyveex",0,FALSE,FALSE,NA,NA
"148","#MadeinStatenIsland smiling as she was addressing the BF cheating on her. When a girl is smiling when they are angr… https://t.co/PMjxLIRftn",FALSE,0,"PaganMediaBites",2019-01-16 15:51:01,TRUE,"1085565090957541376","1085565091888721926","201727015","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaganMediaBites",0,FALSE,FALSE,NA,NA
"149","#MadeinStatenIsland may be a show for a younger generations. It remains to be seen. Some of the girls crack me up.… https://t.co/Ld6M6IBcCz",FALSE,0,"PaganMediaBites",2019-01-16 15:51:01,TRUE,"1085565090068340736","1085565090957541376","201727015","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaganMediaBites",0,FALSE,FALSE,NA,NA
"150","#MadeinStatenIsland which broke the family nucleous and this story seems to be more about how the kids coped/ing wi… https://t.co/SQtgGOKpLl",FALSE,0,"PaganMediaBites",2019-01-16 15:51:00,TRUE,"1085565089191772165","1085565090068340736","201727015","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaganMediaBites",0,FALSE,FALSE,NA,NA
"151","#MadeinStatenIsland thought he was giving her good advise. He is trying to keep her on the straight and narrow he a… https://t.co/ocyrgfKpl6",FALSE,0,"PaganMediaBites",2019-01-16 15:51:00,TRUE,"1085565088285839360","1085565089191772165","201727015","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaganMediaBites",0,FALSE,FALSE,NA,NA
