"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"83","🚨🚨🚨 
Made in Staten Island is not NOR the MobWives reboot!!! Their let’s say... whole different recipes! Reboot is… https://t.co/K8wu8B7ObJ",FALSE,10,NA,2019-01-20 20:11:03,TRUE,NA,"1087080082328322049",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MobWivesVH1Boss",0,FALSE,FALSE,NA,NA
"84","We are both our own show 😘 let Made In Staten Island have it’s spotlight... we have our reboot 🎥 coming soon‼️‼️‼️ https://t.co/QodF0pyefy",FALSE,1,NA,2019-01-20 20:08:22,FALSE,NA,"1087079406042996736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MobWivesVH1Boss",0,FALSE,FALSE,NA,NA
"85","@tvandjudgement Karen’s show will be Made In Staten Island @jenngraziano is cooking up a reboot 😋♥️ #WaitForIt",FALSE,0,"tvandjudgement",2019-01-20 20:05:27,FALSE,"1086727518701395969","1087078673587433472","3109002916","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MobWivesVH1Boss",0,FALSE,FALSE,NA,NA
"86","This show Made in Staten Island is a joke and just brings embarrassment to the entire island",FALSE,6,NA,2019-01-20 19:05:26,FALSE,NA,"1087063570205065216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flipthepaigeg",1,FALSE,FALSE,NA,NA
"88","Of course I’m watching Made in Staten Island... I can’t resist",FALSE,0,NA,2019-01-20 18:31:58,FALSE,NA,"1087055146889158656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jtothesq",0,FALSE,FALSE,NA,NA
"89","This new show Made in Staten Island going to be great I can tell it’s crazy",FALSE,0,NA,2019-01-20 18:23:58,FALSE,NA,"1087053135103909888",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","janellllyy",0,FALSE,FALSE,NA,NA
"90","These look like the type of disrespectful white boys from the south shore of SI who would audition for Made In Stat… https://t.co/y8Sz1MxiKG",FALSE,0,NA,2019-01-20 07:02:14,TRUE,NA,"1086881571095920640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","peters698",0,FALSE,FALSE,NA,NA
"91","idk if marcus browne can hang with the kids from made in staten island",FALSE,1,NA,2019-01-20 06:28:27,FALSE,NA,"1086873070898421762",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","domtusc02",0,FALSE,FALSE,NA,NA
"92","MTV Orders 'Made in Staten Island' Reality Show From Karen Gravano https://t.co/cYJrG3Z3dZ",FALSE,0,NA,2019-01-20 05:30:17,FALSE,NA,"1086858433104625664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Brian91abbott",0,FALSE,FALSE,NA,NA
"93","Marcus Browne&gt; made in Staten Island",FALSE,0,NA,2019-01-20 05:20:13,FALSE,NA,"1086855897404592128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelDennis24",0,FALSE,FALSE,NA,NA
"94","I was thinking about the Made in Staten Island show and how Hollywood these Mobsters have gone",FALSE,0,NA,2019-01-20 04:53:29,FALSE,NA,"1086849169900400640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Legityigit26",0,FALSE,FALSE,NA,NA
"95","Made in Staten Island on MTV is a fucking masterpiece. I am losing my mind. https://t.co/4z3CIMJIC4",FALSE,23,NA,2019-01-20 04:43:49,FALSE,NA,"1086846737283796993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Trilladelphian",2,FALSE,FALSE,NA,NA
"96","Made in Staten Island commercial “it’s easy to get caught up in the street life” ... bro you went to Monmouth... stfu",FALSE,6,NA,2019-01-20 04:43:47,FALSE,NA,"1086846727322288128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NellyR_74",0,FALSE,FALSE,NA,NA
"97","I’m not sure what this Made in Staten Island show is all about really I just know it pisses me off",FALSE,0,NA,2019-01-20 04:43:45,FALSE,NA,"1086846721991340032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Whiteaveli",0,FALSE,FALSE,NA,NA
"98","Made in Staten Island is just a live remake of the movie Malibu’s most wanted",FALSE,0,NA,2019-01-20 04:05:13,FALSE,NA,"1086837025234391040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","taytaygut",0,FALSE,FALSE,NA,NA
"99","The fact that Vanderpump Rosè made its way all the way to Staten Island, NY to a liquor store up the block from me… https://t.co/4SpAFUzSsk",FALSE,0,NA,2019-01-20 03:53:45,TRUE,NA,"1086834139112853504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lusc1ouss",0,FALSE,FALSE,NA,NA
"100","Lets get this to 10,000+ signatories. Share and spread the word. Cancel the show and end MTV and Viacom's negative… https://t.co/IDKIjjJJYI",FALSE,2,NA,2019-01-20 03:08:12,TRUE,NA,"1086822676419751936",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NYC300_",1,FALSE,FALSE,NA,NA
"101","@AmandaNeeson Made in Staten island",FALSE,0,"AmandaNeeson",2019-01-20 00:24:03,FALSE,"1086774153284333569","1086781364509257728","870686616","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","more_cowbel",1,FALSE,FALSE,NA,NA
"102","@frankmorano @ganglandnews @am970TheAnswer Speaking of...what are your thoughts about this new #MTV show ""Made in S… https://t.co/GjGHRuwDuI",FALSE,0,"frankmorano",2019-01-20 00:19:12,TRUE,"1086776066855690240","1086780144549879808","83942527","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","aunttabby4",0,FALSE,FALSE,NA,NA
"103","@TimDrury17 @netflix Putting this on the second I finish made in Staten Island!",FALSE,1,"TimDrury17",2019-01-20 00:08:16,FALSE,"1086775672146722817","1086777393463869440","209264166","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rabeach15",0,FALSE,FALSE,NA,NA
